id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,Grade,Age,CGPA,College_Application
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,False,3,False,32,Banker,90,96,86,61,89,98,68,Senior,18,B,Caltech
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,False,2,False,3,Game Developer,85,100,92,68,60,77,83,Senior,17,B,UC Berkeley
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,False,6,False,31,Software Engineer,91,60,84,88,76,71,99,Freshman,14,B,Columbia
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,non-binary,False,3,False,21,Unknown,95,72,79,86,87,81,62,Senior,18,B,Oberlin
58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,True,2,False,18,Banker,94,78,73,97,67,78,99,Sophomore,16,B,UCLA
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,False,7,False,26,Software Engineer,94,89,64,96,91,95,77,Senior,17,B,UCSD
60,Casey,May,casey.may.60@gslingacademy.com,male,False,4,False,23,Software Engineer,89,99,90,79,85,96,98,Senior,17,A,Rice
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,False,2,False,1,Game Developer,91,81,88,71,78,83,76,Junior,16,B,Claremont McKenna
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,False,5,False,33,Lawyer,83,86,61,99,99,88,73,Junior,17,B,Williams
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,False,7,False,2,Business Owner,98,65,53,64,52,96,62,Freshman,15,C,University of Michigan
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,False,1,False,34,Banker,83,97,65,88,67,95,69,Senior,18,B,Princeton
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,False,2,False,18,Construction Engineer,91,73,99,70,63,80,78,Sophomore,15,C,Bowdoin
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,True,6,False,2,Business Owner,90,54,77,74,76,96,88,Senior,17,C,University of Michigan
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,non-binary,False,3,False,27,Software Engineer,92,86,66,69,100,71,80,Freshman,14,B,Oberlin
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,non-binary,False,2,False,8,Real Estate Developer,64,64,73,76,72,97,91,Sophomore,16,C,Georgetown
69,Henry,Davis,henry.davis.69@gslingacademy.com,male,False,4,False,14,Software Engineer,90,70,85,60,81,71,88,Sophomore,16,C,Oberlin
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,False,10,True,22,Banker,99,81,96,69,91,87,83,Sophomore,15,B,Kenyon
71,Jill,Perez,jill.perez.71@gslingacademy.com,female,False,1,False,15,Designer,89,66,93,81,86,88,70,Junior,17,B,NYU
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,True,3,False,22,Writer,62,87,93,83,93,97,73,Senior,17,B,Oberlin
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,True,10,False,1,Business Owner,61,70,69,64,59,78,80,Junior,17,D,Colgate
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,True,8,False,3,Business Owner,51,54,66,87,99,58,68,Junior,16,D,Boston University
75,Anna,Li,anna.li.75@gslingacademy.com,female,False,2,False,20,Software Engineer,85,100,64,68,73,81,87,Freshman,14,C,Bryn Mawr
76,Andrea,Case,andrea.case.76@gslingacademy.com,non-binary,False,7,True,27,Software Engineer,99,90,96,92,100,98,77,Sophomore,16,A,UCLA
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,False,3,False,24,Software Engineer,87,63,60,90,89,99,80,Freshman,15,B,Kenyon
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,False,1,True,5,Unknown,75,91,80,93,74,93,65,Freshman,14,B,Berkeley
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,False,7,False,34,Unknown,88,94,80,63,68,77,64,Senior,18,C,University of Michigan
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,False,3,False,16,Software Engineer,87,79,89,68,93,75,92,Freshman,14,B,Reed
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,True,3,False,3,Business Owner,87,67,94,92,62,58,65,Senior,17,C,Pomona
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,False,1,False,15,Stock Investor,76,67,83,85,91,61,67,Freshman,14,C,Barnard
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,False,7,False,11,Government Officer,60,80,61,63,95,92,75,Senior,18,C,Davidson
84,Charles,Butler,charles.butler.84@gslingacademy.com,male,False,7,False,32,Scientist,85,65,99,100,88,93,72,Sophomore,16,B,Northwestern
85,James,Dawson,james.dawson.85@gslingacademy.com,male,False,3,False,28,Unknown,73,67,70,71,65,73,87,Junior,17,C,Johns Hopkins
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,False,1,False,24,Software Engineer,85,71,69,80,70,77,66,Junior,17,C,University of Michigan
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,False,2,False,9,Government Officer,91,76,71,72,92,67,90,Junior,17,C,Harvard
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,False,3,True,14,Software Engineer,99,95,83,89,81,63,70,Freshman,14,B,Vanderbilt
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,False,3,False,16,Stock Investor,93,96,68,87,69,89,100,Junior,17,B,Hamilton
90,William,Brown,william.brown.90@gslingacademy.com,male,False,3,False,29,Software Engineer,89,75,60,80,62,85,73,Junior,17,C,Wellesley
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,False,0,False,14,Accountant,95,78,95,73,32,65,68,Sophomore,15,C,Bowdoin
92,James,Santiago,james.santiago.92@gslingacademy.com,male,False,4,False,10,Government Officer,68,82,95,63,62,98,93,Junior,17,B,Barnard
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,False,5,False,31,Software Engineer,98,73,73,77,87,98,83,Freshman,15,B,Barnard
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,False,4,False,34,Stock Investor,79,92,79,76,84,67,86,Freshman,14,B,Middlebury
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,False,5,False,3,Unknown,78,79,73,96,64,93,85,Sophomore,15,B,Smith
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,False,2,True,34,Software Engineer,100,98,89,85,81,64,94,Freshman,14,B,USC
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,non-binary,False,3,True,2,Artist,86,76,84,93,76,69,91,Senior,17,B,UCSD
98,Thomas,White,thomas.white.98@gslingacademy.com,male,False,3,False,4,Real Estate Developer,87,89,93,98,79,72,88,Freshman,15,B,Pomona
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,True,0,False,28,Lawyer,100,93,85,61,96,83,86,Senior,18,B,Middlebury
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,False,0,False,5,Game Developer,85,89,94,69,99,93,98,Junior,16,B,Haverford
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,False,2,False,4,Artist,87,73,98,91,79,60,77,Junior,17,B,UCSD
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,False,2,False,25,Software Engineer,96,80,100,61,81,98,65,Junior,17,B,Duke
103,James,Yang,james.yang.103@gslingacademy.com,male,False,5,False,29,Writer,76,87,64,74,73,90,99,Freshman,14,B,N.A.
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,True,6,False,1,Artist,90,80,63,94,64,70,79,Freshman,14,C,Columbia
105,Emma,Wright,emma.wright.105@gslingacademy.com,female,False,7,False,2,Business Owner,65,60,100,91,87,78,99,Freshman,14,B,Berkeley
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,False,2,False,0,Real Estate Developer,98,97,62,89,62,95,77,Senior,17,B,Georgetown
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,False,3,False,16,Accountant,91,80,97,89,94,95,84,Sophomore,16,A,Caltech
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,False,3,True,31,Scientist,86,81,83,81,81,77,86,Senior,18,B,Williams
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,False,1,False,4,Unknown,91,93,72,61,61,87,95,Sophomore,15,B,Vanderbilt
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,False,5,True,13,Accountant,78,69,82,60,64,77,82,Sophomore,15,C,UCLA
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,False,4,False,24,Stock Investor,76,89,89,83,89,90,64,Junior,17,B,Middlebury
112,Erin,Jones,erin.jones.112@gslingacademy.com,female,True,9,False,2,Business Owner,82,54,85,57,50,54,76,Sophomore,16,D,Caltech
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,True,2,True,4,Business Owner,45,85,94,76,57,93,86,Junior,17,C,Bowdoin
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,False,1,False,22,Banker,92,75,65,97,61,76,81,Sophomore,15,C,UC Berkeley
115,Robert,Turner,robert.turner.115@gslingacademy.com,male,False,6,True,0,Business Owner,43,65,91,75,64,94,100,Senior,17,C,Northwestern
116,Robert,Hill,robert.hill.116@gslingacademy.com,male,False,2,False,24,Unknown,96,66,69,65,72,84,77,Junior,16,C,Rice
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,False,6,False,1,Business Owner,78,71,50,55,54,97,95,Senior,18,C,Carnegie Mellon
118,Beth,Bell,beth.bell.118@gslingacademy.com,female,False,1,False,19,Unknown,68,96,64,70,74,63,75,Freshman,14,C,Tufts
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,False,1,True,19,Software Engineer,93,73,94,65,60,63,93,Senior,18,C,University of Michigan
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,False,6,False,5,Business Owner,55,93,67,74,55,60,64,Freshman,14,D,Grinnell
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,True,0,False,13,Teacher,66,90,83,80,76,90,91,Freshman,14,B,Smith
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,False,4,False,26,Doctor,98,92,91,99,97,88,75,Junior,16,A,Emory
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,False,4,False,41,Doctor,94,94,94,89,85,86,85,Freshman,15,B,NYU
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,False,3,False,47,Doctor,96,100,96,91,91,96,89,Freshman,15,A,Kenyon
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,False,2,False,9,Unknown,69,62,82,89,81,72,71,Freshman,14,C,Duke
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,False,4,False,7,Unknown,77,95,98,69,60,89,71,Junior,17,C,Harvard
127,Brian,Lee,brian.lee.127@gslingacademy.com,male,False,1,False,3,Game Developer,89,67,86,87,87,68,78,Senior,18,B,Caltech
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,non-binary,False,4,True,14,Accountant,96,67,80,83,86,77,75,Junior,16,B,Johns Hopkins
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,False,4,False,26,Unknown,82,70,80,70,96,69,86,Senior,17,C,Colgate
130,Michael,Miller,michael.miller.130@gslingacademy.com,male,False,6,True,27,Unknown,99,97,64,90,87,68,69,Sophomore,15,B,Stanford
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,True,5,False,25,Stock Investor,96,73,90,85,63,84,87,Senior,17,B,Haverford
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,True,4,False,16,Banker,95,82,66,63,67,92,69,Senior,18,C,Rice
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,False,4,False,27,Software Engineer,90,63,69,80,99,69,79,Sophomore,15,C,NYU
134,Cory,Perez,cory.perez.134@gslingacademy.com,male,True,6,False,0,Business Owner,88,52,53,56,85,93,78,Junior,17,C,Johns Hopkins
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,False,1,False,3,Designer,87,62,87,96,85,90,74,Senior,18,B,Carnegie Mellon
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,False,2,False,6,Designer,62,83,84,75,83,85,86,Sophomore,15,C,Carnegie Mellon
137,David,Patel,david.patel.137@gslingacademy.com,male,False,2,False,12,Banker,85,65,60,78,81,96,76,Junior,17,C,UC Berkeley
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,False,1,True,11,Banker,79,97,76,67,61,90,95,Freshman,14,B,Claremont McKenna
139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,False,4,False,23,Software Engineer,90,94,98,96,68,82,81,Sophomore,15,B,Barnard
140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,False,2,False,23,Doctor,97,71,82,80,97,93,78,Sophomore,16,B,Davidson
141,James,Singh,james.singh.141@gslingacademy.com,male,False,0,False,16,Software Engineer,88,69,87,81,77,67,93,Sophomore,16,B,Reed
142,Marc,Villanueva,marc.villanueva.142@gslingacademy.com,male,True,2,True,3,Artist,71,85,77,89,98,63,100,Freshman,15,B,Smith
143,Cathy,Wilson,cathy.wilson.143@gslingacademy.com,female,False,1,False,29,Lawyer,70,99,79,96,60,97,100,Sophomore,16,B,Amherst
144,Adam,Mitchell,adam.mitchell.144@gslingacademy.com,male,False,3,True,18,Software Engineer,93,68,76,99,80,80,75,Senior,17,B,Middlebury
145,Sherry,Phillips,sherry.phillips.145@gslingacademy.com,female,False,0,False,3,Game Developer,92,79,81,61,86,72,88,Freshman,14,C,UCLA
146,Victor,Jones,victor.jones.146@gslingacademy.com,male,False,3,False,6,Real Estate Developer,83,72,68,94,100,98,92,Sophomore,15,B,Caltech
147,Mark,Young,mark.young.147@gslingacademy.com,male,False,8,False,2,Business Owner,68,97,51,93,68,58,78,Senior,17,C,Columbia
148,Matthew,Jackson,matthew.jackson.148@gslingacademy.com,male,False,0,False,34,Lawyer,92,90,65,79,96,87,74,Sophomore,15,B,Amherst
149,Tanya,Nichols,tanya.nichols.149@gslingacademy.com,female,False,4,True,22,Unknown,69,91,82,99,94,75,74,Senior,17,B,Tufts
150,Julie,Gray,julie.gray.150@gslingacademy.com,female,True,5,False,4,Business Owner,76,72,72,65,82,71,93,Junior,16,C,USC
151,Courtney,Perry,courtney.perry.151@gslingacademy.com,female,False,3,False,3,Unknown,86,92,79,73,73,61,60,Junior,17,C,UCSD
152,Stephen,Rodriguez,stephen.rodriguez.152@gslingacademy.com,male,True,10,False,2,Business Owner,41,57,97,56,50,98,83,Sophomore,16,D,Georgetown
153,Elizabeth,Robinson,elizabeth.robinson.153@gslingacademy.com,female,False,5,False,18,Unknown,91,100,84,72,84,90,82,Sophomore,15,B,Rice
154,William,Graves,william.graves.154@gslingacademy.com,male,False,0,False,8,Real Estate Developer,78,67,82,70,65,68,81,Junior,16,C,Stanford
155,Nancy,Moore,nancy.moore.155@gslingacademy.com,female,False,1,False,33,Software Engineer,89,73,85,84,73,81,98,Senior,17,B,Williams
156,Matthew,Newman,matthew.newman.156@gslingacademy.com,male,False,0,True,13,Unknown,96,71,88,74,80,92,65,Sophomore,16,B,Grinnell
157,Anita,Moore,anita.moore.157@gslingacademy.com,female,False,0,True,17,Unknown,66,99,85,90,76,64,95,Freshman,14,B,Rice
158,Brian,Sanchez,brian.sanchez.158@gslingacademy.com,male,True,8,False,1,Business Owner,97,54,62,66,58,69,96,Freshman,14,C,Harvard
159,Dennis,Phillips,dennis.phillips.159@gslingacademy.com,male,True,7,True,3,Business Owner,49,64,97,61,62,72,65,Junior,17,D,Princeton
160,Michael,Rivas,michael.rivas.160@gslingacademy.com,male,True,4,True,33,Unknown,88,66,96,82,65,76,79,Sophomore,16,C,Grinnell
161,Ryan,Smith,ryan.smith.161@gslingacademy.com,male,False,1,False,12,Unknown,92,64,77,61,76,72,87,Senior,18,C,University of Michigan
162,Anthony,Sullivan,anthony.sullivan.162@gslingacademy.com,male,True,3,False,24,Construction Engineer,96,66,92,88,65,76,72,Sophomore,15,C,Duke
163,Troy,Shepherd,troy.shepherd.163@gslingacademy.com,male,False,4,False,33,Construction Engineer,86,88,99,79,93,97,91,Sophomore,16,A,Kenyon
164,Nicholas,Clayton,nicholas.clayton.164@gslingacademy.com,male,False,1,True,44,Doctor,86,100,100,96,95,97,93,Senior,18,A,Wellesley
165,Denise,Schneider,denise.schneider.165@gslingacademy.com,female,False,1,False,15,Teacher,88,72,96,60,90,80,88,Senior,17,B,UCLA
166,Lisa,Silva,lisa.silva.166@gslingacademy.com,female,False,2,False,5,Game Developer,92,81,99,98,77,80,73,Sophomore,15,B,Amherst
167,Laura,Reilly,laura.reilly.167@gslingacademy.com,female,True,7,False,5,Business Owner,87,76,71,65,64,81,61,Sophomore,15,C,Grinnell
168,Amy,Peterson,amy.peterson.168@gslingacademy.com,female,False,5,False,22,Unknown,89,94,67,68,69,92,76,Senior,18,C,Emory
169,Fernando,Sexton,fernando.sexton.169@gslingacademy.com,male,False,1,False,9,Unknown,97,96,66,96,71,97,66,Junior,17,B,Rice
170,Evan,Christian,evan.christian.170@gslingacademy.com,non-binary,False,4,True,34,Software Engineer,100,62,67,97,73,84,99,Sophomore,15,B,Yale
171,Rebecca,Norris,rebecca.norris.171@gslingacademy.com,female,False,1,False,34,Lawyer,91,98,76,99,65,98,71,Junior,16,B,University of Michigan
172,Erica,Marks,erica.marks.172@gslingacademy.com,female,False,4,False,25,Stock Investor,81,87,65,85,74,64,81,Senior,18,C,Emory
173,Rhonda,Webster,rhonda.webster.173@gslingacademy.com,female,False,5,True,31,Accountant,82,66,89,76,68,83,79,Senior,18,C,Brown
174,John,Bennett,john.bennett.174@gslingacademy.com,male,False,1,False,33,Lawyer,100,96,75,68,77,97,81,Senior,17,B,Harvard
175,Amanda,Murphy,amanda.murphy.175@gslingacademy.com,female,False,10,True,3,Business Owner,65,100,80,83,57,81,81,Senior,18,C,UCLA
176,Jeremy,Barnes,jeremy.barnes.176@gslingacademy.com,male,False,2,False,20,Unknown,68,100,89,75,84,78,90,Sophomore,15,B,Hamilton
177,John,Brown,john.brown.177@gslingacademy.com,male,False,3,False,15,Accountant,97,92,95,75,95,90,83,Freshman,15,B,University of Chicago
178,Traci,Boyd,traci.boyd.178@gslingacademy.com,female,False,3,False,26,Banker,76,94,77,88,85,91,61,Senior,17,B,UCSD
179,Elizabeth,Butler,elizabeth.butler.179@gslingacademy.com,female,False,5,False,35,Software Engineer,91,99,94,94,95,98,89,Freshman,14,A,Barnard
180,Alex,Clark,alex.clark.180@gslingacademy.com,male,False,4,False,12,Construction Engineer,85,73,89,73,97,66,79,Senior,17,B,Emory
181,Christopher,Wolfe,christopher.wolfe.181@gslingacademy.com,male,False,2,True,5,Unknown,68,69,86,87,72,80,93,Sophomore,16,C,University of Chicago
182,Jason,Bell,jason.bell.182@gslingacademy.com,male,False,1,False,31,Lawyer,73,99,75,70,100,86,62,Sophomore,16,B,Kenyon
183,Victoria,Donaldson,victoria.donaldson.183@gslingacademy.com,female,False,3,True,28,Unknown,65,90,75,96,91,93,85,Senior,18,B,Northwestern
184,Logan,Cox,logan.cox.184@gslingacademy.com,male,False,8,True,5,Business Owner,46,79,75,86,91,88,77,Freshman,15,C,Swarthmore
185,Rachel,Hill,rachel.hill.185@gslingacademy.com,female,False,1,False,33,Software Engineer,92,84,85,77,81,69,95,Junior,16,B,Swarthmore
186,Jenny,Lloyd,jenny.lloyd.186@gslingacademy.com,female,False,3,False,2,Artist,69,78,69,70,100,88,85,Senior,17,C,Wesleyan
